押出日,押出時間[h],金型番号,品番,単重[kg/m],製品長さ[m],製品重量[kg],ディスカード厚,ディスカード重量,押出種別,計画ビレット数,実績ビレット数,投入ビレット長[mm],ビレットサイズ,切断数,不良数,良品数,寸法チェック完了日,エッチング完了日,時効完了日,梱包完了日,成形不良,ダイスマーク,内面フクレ,磕碰伤不良,粗さ不良,真円度不良,寸法不良,曲がり不良,ねじれ不良,硬度不足,エッチング不良,裂纹不良,粘铝不良,押出振動による不良,内径ダイスマーク,表面坑,外面フクレ異常,型材表面黒線,エッチング巻込不良,浸蚀边部裂纹不良,拉伤不良,粘毛毡不良,停机痕不良,卷裂不良,其他不良
press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
2021-09-06,0.25,MSQ50B2-V01D,P6260401-D,6.76,2.03,13.723,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,2.58,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,25,2.98,●,10,22,600,9,835,0,835,,2021-09-06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,2.25,MXS12TB-V01D,P3800302-M-1,1,2,2,25,2.98,●,20,20,600,9,468,17,451,,2021-09-07,,,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,0.33,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,0.25,CQ63T-V02C,C2Q63-04-J0782AK,5.53,2,11.06,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,0.25,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,0.75,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,◎,6,6,1200,9,,,,,2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,1.58,MXS16TB-V01D,P3800402-M-2,1.46,2,2.92,50,5.95,●,20,20,600,9,323,0,323,,2021-09-03,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,0.33,MSQ10B2-V01D,P6260101-D,3.26,2.045,6.667,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,0.25,MSQ30B2-V01D,P6260301-D,5.19,2.07,10.743,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,0.42,CQ50T-V01B,C2Q50-04-J0781-K,4.8,2,9.6,35,4.17,〇,1,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,2.17,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,14,20,1200,9,139,0,139,2021-09-04,2021-09-03,2021-09-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0.33,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,2,2.14,35,4.17,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,0.17,SY70M-V01B,SY7000-20-1,6.22,2,12.44,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,0.17,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,1.25,MXS12TB-V01D,P3800302-M-1,1,2,2,25,2.98,●,10,10,600,9,260,12,248,2021-09-03,2021-09-03,,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0.92,MXS25TB-V01D,P3800602-M-2,4.22,2,8.44,35,4.17,●,9,9,1200,9,116,4,112,2021-09-04,2021-09-01,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0.42,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,0.23,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,1.33,MXS16TB-V01D,P3800402-M-2,1.46,2,2.92,35,4.17,●,10,14,600,9,252,68,184,2021-09-01,2021-08-31,2021-09-07,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2021-08-30,2.92,MXS20TB-V01D,P3800502-M-2,2.64,2,5.28,35,4.17,●,17,17,1200,9,360,17,343,2021-09-03,2021-09-01,2021-09-06,,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,0.50,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,6,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,0.33,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,2,2.14,35,4.17,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,1.33,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,14,12,1200,9,78,5,73,2021-09-01,2021-08-28,2021-09-01,2021-09-04,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,0.33,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
